crypto,hour,n_epochs,up_pct,predicted_direction,win_rate,edge,edge_pct,kelly_fraction,ev_per_trade,sharpe_ratio,p_value,significant,ci_95_low,ci_95_high
btc,0,28,0.4642857142857143,Down,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
btc,1,28,0.4642857142857143,Down,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
btc,2,28,0.5357142857142857,Up,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
btc,3,28,0.42857142857142855,Down,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
btc,4,28,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.32142857142857145,0.6785714285714286
btc,5,28,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.32142857142857145,0.6785714285714286
btc,6,28,0.35714285714285715,Down,0.6428571428571428,0.1428571428571428,14.28571428571428,0.2857142857142856,0.2857142857142856,0.2981423969999718,0.1849333420395851,False,0.4642857142857143,0.8214285714285714
btc,7,28,0.6428571428571429,Up,0.6428571428571429,0.1428571428571429,14.28571428571429,0.2857142857142858,0.2857142857142858,0.2981423969999721,0.1849333420395851,False,0.4642857142857143,0.8214285714285714
btc,8,29,0.3793103448275862,Down,0.6206896551724138,0.12068965517241381,12.06896551724138,0.24137931034482762,0.24137931034482762,0.24873416908154555,0.26493089646101,False,0.4482758620689655,0.7931034482758621
btc,9,32,0.625,Up,0.625,0.125,12.5,0.25,0.25,0.2581988897471611,0.21532714972272515,False,0.46875,0.78125
btc,10,32,0.59375,Up,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
btc,11,32,0.53125,Up,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
btc,12,32,0.4375,Down,0.5625,0.0625,6.25,0.125,0.125,0.1259881576697424,0.5966148958541453,False,0.375,0.71875
btc,13,32,0.5625,Up,0.5625,0.0625,6.25,0.125,0.125,0.1259881576697424,0.5966148958541453,False,0.375,0.71875
btc,14,32,0.59375,Up,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
btc,15,32,0.5625,Up,0.5625,0.0625,6.25,0.125,0.125,0.1259881576697424,0.5966148958541453,False,0.375,0.71875
btc,16,32,0.40625,Down,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
btc,17,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
btc,18,32,0.53125,Up,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
btc,19,32,0.53125,Up,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
btc,20,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
btc,21,28,0.5357142857142857,Up,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
btc,22,28,0.5714285714285714,Up,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
btc,23,28,0.42857142857142855,Down,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
eth,0,28,0.42857142857142855,Down,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
eth,1,28,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.32142857142857145,0.6785714285714286
eth,2,28,0.32142857142857145,Down,0.6785714285714286,0.1785714285714286,17.85714285714286,0.3571428571428572,0.3571428571428572,0.38235955645093633,0.08715855330228806,False,0.5,0.8571428571428571
eth,3,28,0.5357142857142857,Up,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
eth,4,28,0.6428571428571429,Up,0.6428571428571429,0.1428571428571429,14.28571428571429,0.2857142857142858,0.2857142857142858,0.2981423969999721,0.1849333420395851,False,0.4642857142857143,0.8214285714285714
eth,5,28,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.32142857142857145,0.6785714285714286
eth,6,28,0.39285714285714285,Down,0.6071428571428572,0.1071428571428572,10.71428571428572,0.2142857142857144,0.2142857142857144,0.21938172723813934,0.34492845088243484,False,0.42857142857142855,0.7857142857142857
eth,7,28,0.5714285714285714,Up,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
eth,8,29,0.4827586206896552,Down,0.5172413793103448,0.01724137931034475,1.724137931034475,0.0344827586206895,0.0344827586206895,0.03450327796711756,1.0,False,0.3448275862068966,0.6896551724137931
eth,9,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
eth,10,32,0.5625,Up,0.5625,0.0625,6.25,0.125,0.125,0.1259881576697424,0.5966148958541453,False,0.375,0.71875
eth,11,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
eth,12,32,0.46875,Down,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
eth,13,32,0.53125,Up,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
eth,14,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
eth,15,32,0.40625,Down,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
eth,16,32,0.53125,Up,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
eth,17,32,0.40625,Down,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
eth,18,32,0.59375,Up,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
eth,19,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
eth,20,32,0.65625,Up,0.65625,0.15625,15.625,0.3125,0.3125,0.3289758474798845,0.11018416518345475,False,0.5,0.8125
eth,21,28,0.5357142857142857,Up,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
eth,22,28,0.6071428571428571,Up,0.6071428571428571,0.1071428571428571,10.71428571428571,0.2142857142857142,0.2142857142857142,0.2193817272381391,0.34492845088243484,False,0.42857142857142855,0.7857142857142857
eth,23,28,0.5357142857142857,Up,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
sol,0,28,0.4642857142857143,Down,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
sol,1,28,0.5714285714285714,Up,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
sol,2,28,0.4642857142857143,Down,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
sol,3,28,0.5714285714285714,Up,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
sol,4,28,0.5714285714285714,Up,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
sol,5,28,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.32142857142857145,0.6785714285714286
sol,6,28,0.39285714285714285,Down,0.6071428571428572,0.1071428571428572,10.71428571428572,0.2142857142857144,0.2142857142857144,0.21938172723813934,0.34492845088243484,False,0.42857142857142855,0.7857142857142857
sol,7,28,0.6071428571428571,Up,0.6071428571428571,0.1071428571428571,10.71428571428571,0.2142857142857142,0.2142857142857142,0.2193817272381391,0.34492845088243484,False,0.42857142857142855,0.7857142857142857
sol,8,29,0.5172413793103449,Up,0.5172413793103449,0.017241379310344862,1.7241379310344862,0.034482758620689724,0.034482758620689724,0.03450327796711778,1.0,False,0.3448275862068966,0.6896551724137931
sol,9,32,0.59375,Up,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
sol,10,32,0.59375,Up,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
sol,11,32,0.53125,Up,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
sol,12,32,0.375,Down,0.625,0.125,12.5,0.25,0.25,0.2581988897471611,0.21532714972272515,False,0.46875,0.78125
sol,13,32,0.59375,Up,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
sol,14,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
sol,15,32,0.40625,Down,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
sol,16,32,0.40625,Down,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
sol,17,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
sol,18,32,0.625,Up,0.625,0.125,12.5,0.25,0.25,0.2581988897471611,0.21532714972272515,False,0.46875,0.78125
sol,19,32,0.53125,Up,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
sol,20,32,0.53125,Up,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
sol,21,28,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.32142857142857145,0.6785714285714286
sol,22,28,0.4642857142857143,Down,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
sol,23,28,0.4642857142857143,Down,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
xrp,0,28,0.39285714285714285,Down,0.6071428571428572,0.1071428571428572,10.71428571428572,0.2142857142857144,0.2142857142857144,0.21938172723813934,0.34492845088243484,False,0.42857142857142855,0.7857142857142857
xrp,1,28,0.4642857142857143,Down,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
xrp,2,28,0.35714285714285715,Down,0.6428571428571428,0.1428571428571428,14.28571428571428,0.2857142857142856,0.2857142857142856,0.2981423969999718,0.1849333420395851,False,0.4642857142857143,0.8214285714285714
xrp,3,28,0.42857142857142855,Down,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
xrp,4,28,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.32142857142857145,0.6785714285714286
xrp,5,28,0.5357142857142857,Up,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
xrp,6,28,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.32142857142857145,0.6785714285714286
xrp,7,28,0.6428571428571429,Up,0.6428571428571429,0.1428571428571429,14.28571428571429,0.2857142857142858,0.2857142857142858,0.2981423969999721,0.1849333420395851,False,0.4642857142857143,0.8214285714285714
xrp,8,29,0.4482758620689655,Down,0.5517241379310345,0.051724137931034475,5.1724137931034475,0.10344827586206895,0.10344827586206895,0.10400628679223045,0.711071103811264,False,0.3793103448275862,0.7241379310344828
xrp,9,32,0.6875,Up,0.6875,0.1875,18.75,0.375,0.375,0.40451991747794525,0.050102459732443094,False,0.53125,0.84375
xrp,10,32,0.5625,Up,0.5625,0.0625,6.25,0.125,0.125,0.1259881576697424,0.5966148958541453,False,0.375,0.71875
xrp,11,32,0.59375,Up,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
xrp,12,32,0.375,Down,0.625,0.125,12.5,0.25,0.25,0.2581988897471611,0.21532714972272515,False,0.46875,0.78125
xrp,13,32,0.5625,Up,0.5625,0.0625,6.25,0.125,0.125,0.1259881576697424,0.5966148958541453,False,0.375,0.71875
xrp,14,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
xrp,15,32,0.40625,Down,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
xrp,16,32,0.46875,Down,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
xrp,17,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
xrp,18,32,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3125,0.6875
xrp,19,32,0.40625,Down,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
xrp,20,32,0.53125,Up,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
xrp,21,28,0.5714285714285714,Up,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
xrp,22,28,0.6071428571428571,Up,0.6071428571428571,0.1071428571428571,10.71428571428571,0.2142857142857142,0.2142857142857142,0.2193817272381391,0.34492845088243484,False,0.42857142857142855,0.7857142857142857
xrp,23,28,0.4642857142857143,Down,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
